"","country","countryLong","year","mismanagedTotal","coastalPop","totalPop","mismanagedPerCap","gdpPerCap","totWastePerCap"
"106","MDG","Madagascar",2010,34522,7062413,20713819,0.013,1385.68507168039,0.016
"107","MDV","Maldives",2010,31469,392567,315885,0.22,12005.5046183167,0.322
"108","MEX","Mexico",2010,101343,22647771,113423047,0.012,15715.9721449501,0.087
"109","MHL","Marshall Islands",2010,3187,58086,54038,0.15,3479.15530340683,0.192
"110","MLT","Malta",2010,2620,404707,416515,0.018,28364.7993209208,0.214
"111","MMR","Myanmar",2010,458269,18988522,47963012,0.066,3721.21144009279,0.075
"112","MNE","Montenegro",2010,4416,260336,631490,0.046,14034.5845640087,0.144
"114","MOZ","Mozambique",2010,45995,9566559,23390765,0.013,917.763832040531,0.015
"115","MRT","Mauritania",2010,13854,1005481,3459773,0.038,3316.97478042489,0.045
"118","MUS","Mauritius",2010,56051,1255952,1299172,0.122,15938.4192089782,0.23
"119","MYS","Malaysia",2010,936818,22890252,28401017,0.112,21107.2679372523,0.198
"120","NAM","Namibia",2010,5480,155084,2283289,0.097,8460.84736812378,0.144
"123","NGA","Nigeria",2010,851493,27477112,158423182,0.085,5150.15881822763,0.103
"124","NIC","Nicaragua",2010,84415,3482653,5788163,0.066,4028.71208738128,0.143
"126","NLD","Netherlands",2010,27700,8971770,16612988,0.008,45524.6621425733,0.424
"127","NOR","Norway",2010,8403,4131679,4883111,0.006,62350.4107068751,0.28
"128","NRU","Nauru",2010,554,15289,10255,0.099,6592.43683574598,0.144
"129","NZL","New Zealand",2010,9286,3862054,4368136,0.007,32119.2155430773,0.331
"130","OMN","Oman",2010,4658,2597556,2782435,0.005,45335.8525168436,0.084
"132","PAK","Pakistan",2010,480493,14581952,173593383,0.09,4283.60731163635,0.103
"133","PAN","Panama",2010,34388,3249531,3516820,0.029,15628.5922438738,0.145
"134","PER","Peru",2010,194453,13765608,29076512,0.039,9956.55663668307,0.144
"135","PHL","Philippines",2010,1883659,83446862,93260798,0.062,5596.83728794962,0.075
"136","PLW","Palau",2010,716,23446,20472,0.084,11846.5739334318,0.144
"137","PNG","Papua New Guinea",2010,89835,2747514,6858266,0.09,3191.58041028301,0.103
"138","POL","Poland",2010,15703,3272933,38276660,0.013,21770.6444359772,0.097
"139","PRI","Puerto Rico",2010,16517,4249848,3749009,0.011,33924.0540101397,0.252
"141","PRT","Portugal",2010,16402,8507951,10675572,0.005,27238.4606724422,0.265
"144","QAT","Qatar",2010,758,653007,1758793,0.003,125140.838348001,0.16
"146","ROU","Romania",2010,3610,875170,21486371,0.011,17553.2832966444,0.042
"147","RUS","Russia",2010,80759,10812537,142958164,0.02,23107.7852212759,0.112
"148","SAU","Saudi Arabia",2010,20552,3593471,27448086,0.016,45421.2284797446,0.156
"149","SDN","Sudan",2010,22928,752529,34136520,0.083,3366.09626107549,0.103
"150","SEN","Senegal",2010,254770,8125063,12433728,0.086,2183.99505141766,0.103
"151","SGP","Singapore",2010,6472,4492494,5086418,0.004,72115.8395014504,0.194
"153","SLB","Solomon Islands",2010,20394,618678,538148,0.09,1871.36935209356,0.103
"154","SLE","Sierra Leone",2010,36408,2887017,5867536,0.035,1199.98985027502,0.041
"155","SLV","El Salvador",2010,118732,6410726,6192993,0.051,6300.77538777337,0.147
"158","STP","Sao Tome and Principe",2010,5081,163740,165397,0.085,2641.51394847294,0.103
"159","SUR","Suriname",2010,3942,402263,524636,0.027,14211.8775163255,0.163
"160","SVN","Slovenia",2010,556,336594,2029680,0.005,28678.3726303687,0.145
"161","SWE","Sweden",2010,2150,6202234,9379687,0.001,42942.5625032962,0.048
"163","SYC","Seychelles",2010,4619,91361,86518,0.139,20365.1189331513,0.358
"166","TGO","Togo",2010,35401,1991642,6027798,0.049,1208.2812098328,0.057
"167","THA","Thailand",2010,1027739,26043442,69122234,0.108,13486.5624149548,0.144
"169","TON","Tonga",2010,6624,102872,104058,0.176,4984.19362951029,0.223
"170","TTO","Trinidad and Tobago",2010,94066,1358433,1341465,0.19,31260.9070471763,3.6
"171","TUN","Tunisia",2010,234309,7274973,10480934,0.088,10436.3655998628,0.144
"172","TUR","Turkey",2010,485937,34042862,72752325,0.039,17959.2591065745,0.212
"173","TUV","Tuvalu",2010,457,11563,9827,0.108,2986.44985588888,0.144
"175","TZA","Tanzania",2010,48586,6688695,44841226,0.02,2090.58322467574,0.023
"176","UKR","Ukraine",2010,128765,6812799,45448329,0.052,7824.49845171438,0.103
"177","URY","Uruguay",2010,21562,2433597,3368786,0.024,17082.4046586765,0.252
"178","USA","United States",2010,275424,112925034,310383948,0.007,49374.1788851797,0.335
"179","VCT","Saint Vincent and the Grenadines",2010,2245,120149,109333,0.051,9915.57761891195,0.221
"180","VEN","Venezuela",2010,102333,16094897,28979857,0.017,16544.9720552598,0.252
"182","VNM","Vietnam",2010,1833819,55858245,87848445,0.09,4408.16861192198,0.103
"183","VUT","Vanuatu",2010,22478,251851,239651,0.245,2948.03293729183,0.295
"184","WSM","Samoa",2010,5122,168025,183081,0.084,5399.89309631838,0.103
"186","ZAF","South Africa",2010,630005,12899201,50132817,0.134,11887.8050343927,0.24
